NUMBER_OF_CLASSES.INCLUDE_IMPORT_CLOSURE=true	35707
NUMBER_OF_NON_DEPRECATED_CLASSES.INCLUDE_IMPORT_CLOSURE=true	33333
NUMBER_OF_CLASSES.INCLUDE_IMPORT_CLOSURE=false	9397
NUMBER_OF_NON_DEPRECATED_CLASSES.INCLUDE_IMPORT_CLOSURE=false	7023
NUMBER_OF_AXIOMS.AXIOM_TYPE=AnnotationAssertion	119749
NUMBER_OF_AXIOMS.AXIOM_TYPE=SubClassOf	47029
NUMBER_OF_AXIOMS.AXIOM_TYPE=DisjointClasses	2
NUMBER_OF_AXIOMS.AXIOM_TYPE=EquivalentClasses	1285
NUMBER_OF_AXIOMS.AXIOM_TYPE=AnnotationAssertion	92034
NUMBER_OF_AXIOMS.AXIOM_TYPE=SubClassOf	8224
NUMBER_OF_AXIOMS.AXIOM_TYPE=DisjointClasses	2
NUMBER_OF_AXIOMS.AXIOM_TYPE=EquivalentClasses	44
NUMBER_OF_NON_DEPRECATED_CLASSES.ANNOTATION_PROPERTY=hasRelatedSynonym 'has_related_synonym'	0:  365 (0.05197209)	1+: 6658 (0.9480279)	>1: 44 (0.006265129)
NUMBER_OF_NON_DEPRECATED_CLASSES.ANNOTATION_PROPERTY=comment comment	0:  1005 (0.14310125)	1+: 6018 (0.8568988)	>1: 0 (0.0)
NUMBER_OF_NON_DEPRECATED_CLASSES.ANNOTATION_PROPERTY=SubsetProperty 'subset_property'	0:  1 (1.423893E-4)	1+: 7022 (0.9998576)	>1: 0 (0.0)
NUMBER_OF_NON_DEPRECATED_CLASSES.ANNOTATION_PROPERTY=created_by created_by	0:  762 (0.10850064)	1+: 6261 (0.89149934)	>1: 0 (0.0)
NUMBER_OF_NON_DEPRECATED_CLASSES.ANNOTATION_PROPERTY=creation_date creation_date	0:  762 (0.10850064)	1+: 6261 (0.89149934)	>1: 0 (0.0)
NUMBER_OF_NON_DEPRECATED_CLASSES.ANNOTATION_PROPERTY=hasNarrowSynonym 'has_narrow_synonym'	0:  7 (9.96725E-4)	1+: 7016 (0.9990033)	>1: 2 (2.847786E-4)
NUMBER_OF_NON_DEPRECATED_CLASSES.ANNOTATION_PROPERTY=hasAlternativeId 'has_alternative_id'	0:  671 (0.09554321)	1+: 6352 (0.9044568)	>1: 250 (0.035597324)
NUMBER_OF_NON_DEPRECATED_CLASSES.ANNOTATION_PROPERTY=inSubset 'in_subset'	0:  1206 (0.17172149)	1+: 5817 (0.82827854)	>1: 486 (0.069201194)
NUMBER_OF_NON_DEPRECATED_CLASSES.ANNOTATION_PROPERTY=IAO:0000115 'definition'	0:  2764 (0.39356402)	1+: 4259 (0.606436)	>1: 0 (0.0)
NUMBER_OF_NON_DEPRECATED_CLASSES.ANNOTATION_PROPERTY=hasDbXref 'database_cross_reference'	0:  6366 (0.9064502)	1+: 657 (0.093549766)	>1: 5991 (0.8530542)
NUMBER_OF_NON_DEPRECATED_CLASSES.ANNOTATION_PROPERTY=id id	0:  6850 (0.97536665)	1+: 173 (0.024633348)	>1: 0 (0.0)
